<<<<<<< HEAD
,,,,
,Time (minutes),,Dose Rate,relative
detector,Denovo,Monaco,(rem/hr),uncertainty
1,6.9,131,7.65E-04,0.0081
2,7.8,64,7.83E-03,0.0030
3,9.8,65,1.54E-02,0.0029
4,6.4,120,4.57E-04,0.0029
5,7.3,64,1.36E-02,0.0028
=======
,,,,
,Time (minutes),,Dose Rate,relative
detector,Denovo,Monaco,(rem/hr),uncertainty
1,6.9,131,7.65E-04,0.0081
2,7.8,64,7.83E-03,0.0030
3,9.8,65,1.54E-02,0.0029
4,6.4,120,4.57E-04,0.0029
5,7.3,64,1.36E-02,0.0028
>>>>>>> 976035f4c8ffba8420e067d938fa541e86781544
6,9.5,65,2.93E-03,0.0023
