<<<<<<< HEAD
,,,,,,
,,,SAS4,SAS4,,
,detector,Monaco,radial,axial,MAVRIC,
,1,1,9498,3.2,4178,
,2,1,0.0,1874,2858,
,3,1,0.1,45,270,
,4,1,287,0.0,1002,
,5,1,0.0,32,65,
,6,1,0.1,35.8,146,
,,,,,,
=======
,,,,,,
,,,SAS4,SAS4,,
,detector,Monaco,radial,axial,MAVRIC,
,1,1,9498,3.2,4178,
,2,1,0.0,1874,2858,
,3,1,0.1,45,270,
,4,1,287,0.0,1002,
,5,1,0.0,32,65,
,6,1,0.1,35.8,146,
,,,,,,
>>>>>>> 976035f4c8ffba8420e067d938fa541e86781544
,,,,,,
